,COD_APE,DATA_INS,RESIDENZIALE,NON_RESIDENZIALE,COMUNE_CATASTALE,SEZIONE_x,FOGLIO,PARTICELLA,SUBALTERNO_x,PROPRIETA_PUBBLICA,USO_PUBBLICO,CLASSIFICAZIONE_DPR,INTERO_EDIFICIO,UNITA_IMMOBILIARE,GRUPPO_UNITA_IMMOBILIARI,NUMERO_UNITA_IMMOBILIARI,NUOVA_COSTRUZIONE,PASSAGGIO_PROPRIETA,LOCAZIONE,RISTRUTTURAZIONE_IMPORTANTE,RIQUALIFICAZIONE_ENERGETICA,OGGETTO_ALTRO,OGGETTO_ALTRO_TXT,REGIONE,COMUNE_x,INDIRIZZO_x,PIANO,INTERNO,WGS84_X,WGS84_Y,location,ZONA_CLIMATICA,ANNO_COSTRUZIONE_x,SUPERF_UTILE_RISCALDATA,SUPERF_UTILE_RAFFRESCATA,VOLUME_LORDO_RISCALDATO,VOLUME_LORDO_RAFFRESCATO,CLIMATIZZAZIONE_INVERNALE,CLIMATIZZAZIONE_ESTIVA,VENTILAZIONE_MECCANICA,PROD_ACQUA_CALDA_SANITARIA,ILLUMINAZIONE,TRASPORTO_PERSONE_COSE,PI,PE,EDIFICIO_ENERGIA_QUASI_ZERO,CLASSE_ENERGETICA_x,EP_GL_NREN,Y,Z,EP_GL_REN,EMISSIONI_CO2,CONSUMI_ENERGIA_ELETTRICA,CONSUMI_GAS_NATURALE,CONSUMI_GPL,CONSUMI_CARBONE,CONSUMI_GASOLIO,CONSUMI_BIOMASSE_SOLIDE,CONSUMI_BIOMASSE_LIQUIDE,CONSUMI_BIOMASSE_GASSOSE,CONSUMI_SOLARE_FOTOVOLTAICO,CONSUMI_SOLARE_TERMICO,CONSUMI_EOLICO,CONSUMI_TELERISCALDAMENTO,CONSUMI_TELERAFFRESCAMENTO,CONSUMI_ALTRO,RIQ_CLASSE_RAGG,RIQ_EP_GL_NREN_RAGG,DS_CODICE_INTERVENTO_1,DS_TIPO_INTERVENTO_1,FL_COMPORTA_RISTRUT_1,NM_TEMPO_RITORNO_INVESTIM_1,DS_CLASSE_RAGGIUNGIBILE_1,NM_EP_GL_NREN_RAGGIUNG_1,DS_CODICE_INTERVENTO_2,DS_TIPO_INTERVENTO_2,FL_COMPORTA_RISTRUT_2,NM_TEMPO_RITORNO_INVESTIM_2,DS_CLASSE_RAGGIUNGIBILE_2,NM_EP_GL_NREN_RAGGIUNG_2,DS_CODICE_INTERVENTO_3,DS_TIPO_INTERVENTO_3,FL_COMPORTA_RISTRUT_3,NM_TEMPO_RITORNO_INVESTIM_3,DS_CLASSE_RAGGIUNGIBILE_3,NM_EP_GL_NREN_RAGGIUNG_3,DS_CODICE_INTERVENTO_4,DS_TIPO_INTERVENTO_4,FL_COMPORTA_RISTRUT_4,NM_TEMPO_RITORNO_INVESTIM_4,DS_CLASSE_RAGGIUNGIBILE_4,NM_EP_GL_NREN_RAGGIUNG_4,DS_CODICE_INTERVENTO_5,DS_TIPO_INTERVENTO_5,FL_COMPORTA_RISTRUT_5,NM_TEMPO_RITORNO_INVESTIM_5,DS_CLASSE_RAGGIUNGIBILE_5,NM_EP_GL_NREN_RAGGIUNG_5,DS_CODICE_INTERVENTO_6,DS_TIPO_INTERVENTO_6,FL_COMPORTA_RISTRUT_6,NM_TEMPO_RITORNO_INVESTIM_6,DS_CLASSE_RAGGIUNGIBILE_6,NM_EP_GL_NREN_RAGGIUNG_6,DS_CODICE_INTERVENTO_7,DS_TIPO_INTERVENTO_7,FL_COMPORTA_RISTRUT_7,NM_TEMPO_RITORNO_INVESTIM_7,DS_CLASSE_RAGGIUNGIBILE_7,NM_EP_GL_NREN_RAGGIUNG_7,ENERGIA_ESPORTATA,VETTORE_ENERGETICO,SUPERFICIE_DISPERDENTE_x,RAPPORTO_SV,EP_H_ND,A_SOL_EST_A_SUP_UTILE,Y_IE,CI_TIPO_IMPIANTO_1,CI_ANNO_INSTALLAZIONE_1,CI_CODICE_CATASTO_1,CI_VETTORE_ENERGETICO_1,CI_POTENZA_NOMINALE_1,CI_TIPO_IMPIANTO_2,CI_ANNO_INSTALLAZIONE_2,CI_VETTORE_ENERGETICO_2,CI_POTENZA_NOMINALE_2,CI_EFFICIENZA_MEDIA,CI_EPREN,CI_EPNREN,CE_TIPO_IMPIANTO_1,CE_ANNO_INSTALLAZIONE_1,CE_VETTORE_ENERGETICO_1,CE_POTENZA_NOMINALE_1,CE_TIPO_IMPIANTO_2,CE_ANNO_INSTALLAZIONE_2,CE_VETTORE_ENERGETICO_2,CE_POTENZA_NOMINALE_2,CE_EFFICIENZA_MEDIA,CE_EPREN,CE_EPNREN,PA_TIPO_IMPIANTO,PA_ANNO_INSTALLAZIONE,PA_VETTORE_ENERGETICO,PA_POTENZA_NOMINALE,PA_EFFICIENZA_MEDIA,PA_EPREN,PA_EPNREN,IC_TIPO_IMPIANTO,IC_ANNO_INSTALLAZIONE,IC_VETTORE_ENERGETICO,IC_POTENZA_NOMINALE,IC_EFFICIENZA_MEDIA,IC_EPREN,IC_EPNREN,PFR_TIPO_IMPIANTO_1,PFR_ANNO_INSTALLAZIONE_1,PFR_VETTORE_ENERGETICO_1,PFR_POTENZA_NOMINALE_1,PFR_EFFICIENZA_MEDIA_1,PFR_EPREN_1,PFR_EPNREN_1,PFR_TIPO_IMPIANTO_2,PFR_ANNO_INSTALLAZIONE_2,PFR_VETTORE_ENERGETICO_2,PFR_POTENZA_NOMINALE_2,PFR_EFFICIENZA_MEDIA_2,PFR_EPREN_2,PFR_EPNREN_2,VM_TIPO_IMPIANTO,VM_ANNO_INSTALLAZIONE,VM_VETTORE_ENERGETICO,VM_POTENZA_NOMINALE,VM_EFFICIENZA_MEDIA,VM_EPREN,VM_EPNREN,ILL_TIPO_IMPIANTO,ILL_ANNO_INSTALLAZIONE,ILL_VETTORE_ENERGETICO,ILL_POTENZA_NOMINALE,ILL_EFFICIENZA_MEDIA,ILL_EPREN,ILL_EPNREN,TPC_TIPO_IMPIANTO_1,TPC_ANNO_INSTALLAZIONE_1,TPC_VETTORE_ENERGETICO_1,TPC_POTENZA_NOMINALE_1,TPC_EFFICIENZA_MEDIA_1,TPC_EPREN_1,TPC_EPNREN_1,TPC_TIPO_IMPIANTO_2,TPC_ANNO_INSTALLAZIONE_2,TPC_VETTORE_ENERGETICO_2,TPC_POTENZA_NOMINALE_2,TPC_EFFICIENZA_MEDIA_2,TPC_EPREN_2,TPC_EPNREN_2,SOPRALLUOGO,SW_REQUISITI,SW_SEMPLIFICATO,Limiti amministrativi 2015 delle province di Regione Lombardia,ENTE_PUBBLICO,ATS Regione Lombardia,Limiti amministrativi 2014 delle province di Regione Lombardia,TECNICO_ABILITATO,SOCIETA,NOME_DENOMINAZIONE_CERT,TITOLO_CERT,ORDINE_CERT,CODICE_IDENTIFICATIVO_PRATICA,DATA_CHIUSURA_PRATICA,INDIRIZZO_y,PROVINCIA,COMUNE_y,SEZIONE_y,SUBALTERNO_y,NOME_CERTIFICATORE,COGNOME_CERTIFICATORE,EDIFICIO_PUBBLICO,DESTINAZIONE_DI_USO,ANNO_COSTRUZIONE_y,MOTIVAZIONE_APE,SUPERFICIE_LORDA,SUPERFICIE_NETTA,VOLUME_LORDO,VOLUME_NETTO,SUPERFICIE_DISPERDENTE_y,SUPERFICIE_VETRATA_OPACA,TRASMITTANZA_MEDIA_INVOLUCRO,TRASMITTANZA_MEDIA_COPERTURA,TRASMITTANZA_MEDIA_BASAMENTO,TRASMITTANZA_MEDIA_SERRAMENTO,CLASSE_ENERGETICA_y,EPH,ETH,ETC,EFER,EMISSIONI_DI_CO2,EPW,EPT,EF_GLOB_MEDIA_RISCALDAMENTO,EF_GLOB_MEDIA_ACQUA_CALDA_SAN,EGHW,TIPOLOGIA_VENTILAZIONE,NUMERO_RICAMBI_ORARI,TIPOLOGIA_PANNELLO_ST,TIPOLOGIA_PANNELLO_FV,SUPERFICIE_CAPTANTE_FV,SUPERFICIE_APERTURA_ST,SUP_PAN_FV_SUP_UTILE,SUP_PAN_ST_SUP_UTILE,TIPOLOGIA_COMBUSTIBILE,TIPOLOGIA_GENERATORE,POTENZA_GENERATORE,surfdiff
81789,1700100001817,03/08/2017,True,False,ACQUAFREDDA,,6,93,14,False,False,E.1(1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,ACQUAFREDDA,VIA TITO SPERI 37,,,45.30895339526668,10.409004023195608,"(45.30895339526668, 10.409004023195607)",E,1961-1976,119.82,0.0,446.34,0.0,True,False,False,True,False,False,red,yellow,False,F,248.4,"B (83,11)",,0.0,47.27,0.0,2851.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,10.0,9.0,221.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,294.35,0.66,168.97,0.01,0.4,Generatore a combustione,1980.0,,Gas naturale,24.0,,,,,0.74,0.0,228.49,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,1980.0,Gas naturale,24.0,0.79,0.0,19.92,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,6.0,False,2.0,6.0,True,False,LINDA BETTINAZZI,Diploma di geometra,Collegio dei geometri,1304000009213,16-DIC-13,"VIA BELVEDERE, 6",CO,CAMPIONE D'ITALIA,,706,Giuseppe Antonio,Carmeci,NO,E.1(1),1977-1992,Ace volontario,136.25,117.13,436.0,327.96,297.93,0.2405,0.8074,1.036,,3.1439999999999997,G,179.8617,146.303,25.3085,0,47.2521,27.7326,207.5943,0.81,0.67,0.79,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gasolio,Generatore tradizionale,26.00,0.012162391710548611
81792,1700100001817,03/08/2017,True,False,ACQUAFREDDA,,6,93,14,False,False,E.1(1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,ACQUAFREDDA,VIA TITO SPERI 37,,,45.30895339526668,10.409004023195608,"(45.30895339526668, 10.409004023195607)",E,1961-1976,119.82,0.0,446.34,0.0,True,False,False,True,False,False,red,yellow,False,F,248.4,"B (83,11)",,0.0,47.27,0.0,2851.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,10.0,9.0,221.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,294.35,0.66,168.97,0.01,0.4,Generatore a combustione,1980.0,,Gas naturale,24.0,,,,,0.74,0.0,228.49,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,1980.0,Gas naturale,24.0,0.79,0.0,19.92,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,6.0,False,2.0,6.0,True,False,LINDA BETTINAZZI,Diploma di geometra,Collegio dei geometri,1720300002310,30-NOV-10,VIA GRAMSCI 16,BS,VISANO,NCT,4,Giulio,Maninetti,NO,E.1(1),prima del 1930,Contratto di locazione,64.66,46.62,221.46099999999998,130.536,284.66,0.0233,0.9854,1.754,0.34600000000000003,2.8686,G,425.3927,305.535,39.7531,0,84.9395,121.4142,546.8069,0.72,0.19,0.6,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,25.80,0.03291999320536775
81813,1800300000317,25/06/2017,True,False,ALBONESE,,1,209,1,False,False,E.1(1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,ALBONESE,VIA MARCONI 49,T-1,,45.29177895188693,8.7042261978335,"(45.291778951886926, 8.7042261978335)",E,1946-1960,109.36,0.0,478.04,0.0,True,False,False,True,False,False,red,green,False,E,179.89,"A2 (43,61)",,0.86,34.34,199.2,1847.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,4.0,8.0,150.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,244.51,0.51,120.74,0.01,0.03,Generatore a biomassa,2000.0,,Biomasse solide,27.4,Generatore a combustione,2000.0,Gas naturale,24.3,0.75,0.86,160.21,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2000.0,Gas naturale,24.3,0.81,0.0,19.68,,,,,,,,Generatore a biomassa,2000.0,Biomasse solide,27.4,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,7.0,False,6.0,7.0,True,False,Marco Canadelli,Diploma di geometra,Collegio dei geometri,9704800009512,13-FEB-12,"VIA ALCIDE DE GASPERI, 153",LC,MERATE,NOV,10,Federico,Airoldi,NO,E.1(1),1961-1976,Trasferimento a titolo oneroso,113.07,92.03,366.44,265.68,233.66,0.0682,1.2722,1.5903,,3.0883,G,240.3826,190.9171,2.1138,0,63.3046,51.2549,291.6375,0.79,0.38,0.72,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale|Gasolio,Generatore ACS|Generatore tradizionale,8.79,0.04437446321213854
81833,1809200004016,29/10/2016,True,False,MEZZANINO,,16,270,0,False,False,E.1(1),True,False,False,1.0,False,False,False,False,False,True,Annuncio commerciale,Lombardia,MEZZANINO,Via Palazzo 74,T-1-2,,,,,E,1930-1945,68.71,0.0,260.35,0.0,True,False,False,True,False,False,red,red,False,G,323.12,"A2 (57,33)",,81.38,57.72,84.25,1978.45,0.0,0.0,0.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,10.0,8.0,162.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,204.66,0.79,230.89,0.07,0.28,Generatore a combustione,2015.0,,Gas naturale,24.0,Generatore a biomassa,1930.0,Biomasse solide,5.0,0.78,81.38,296.56,,,,,,,,,0.0,0.0,0.0,Scalda-acqua,2000.0,Gas naturale,1.2,0.68,0.0,26.56,,,,,,,,Generatore a biomassa,1930.0,Biomasse solide,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,,False,,,True,False,Gianluca Albo,Diploma di geometra,,1519100007411,06-APR-11,VIA GIUSEPPE GARIBALDI 2A,MI,SAN COLOMBANO AL LAMBRO,,710,Maurizio,Pasquini,NO,E.1(1),2004,Contratto di locazione,54.8,47.1,208.24,155.43,195.14,0.0301,0.6297,0.397,0.43,3.1911,F,173.9059,129.5705,23.4144,0,34.7425,32.8051,206.711,0.75,0.69,0.74,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,26.00,0.04651617316524973
81868,1318900005816,18/05/2016,True,False,PORLEZZA,,7,879,1,False,False,E.1(1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,PORLEZZA,VIA CERESIO 19,,,46.037607861284506,9.125396106877108,"(46.037607861284506, 9.125396106877107)",E,1946-1960,56.83,0.0,232.87,0.0,True,False,False,True,False,False,red,red,False,G,353.15,"B (74,78)",,0.0,67.2,0.0,1923.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,10.0,10.0,305.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,155.37,0.67,239.19,0.03,0.92,Generatore a combustione,2016.0,,Gas naturale,24.8,,,,,0.73,0.0,326.55,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2016.0,Gas naturale,24.8,0.78,0.0,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,2.0,False,7.0,2.0,True,False,CLAUDIO MAZZI,Diploma di geometra,Ordine degli ingegneri,10803400046012,16-LUG-12,"VIA BRUNO BUOZZI, 6",MB,MUGGIO',,16,Sara,Cazzaniga,NO,E.1(1),2007,Contratto di locazione,55.7,44.44,178.52,111.9,152.957,0.0547,0.8065,0.359,,2.2921,D,112.3202,95.304,32.1161,0,22.4406,38.8348,151.155,0.85,0.58,0.78,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore a condensazione,26.00,0.015530668726266402
81869,1702900223717,27/06/2017,False,True,BRESCIA,NCT,147,106,62,False,False,E.2,True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,BRESCIA,via Saffi 15,,,45.532138601396476,10.218031393652659,"(45.53213860139648, 10.21803139365266)",E,2004,140.0,140.0,380.0,380.0,True,True,True,True,True,False,red,red,False,D,329.63,"B (233,18)",,26.49,77.15,7890.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20507.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,9.0,7.0,308.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,247.02,0.65,122.64,0.04,0.47,Teleriscaldamento,2004.0,,Teleriscaldamento,200.0,,,,,0.58,0.0,211.65,Pompa di calore,2004.0,Energia elettrica,7.0,,,,,0.98,1.84,7.63,Teleriscaldamento,2004.0,Teleriscaldamento,200.0,0.29,0.0,8.08,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.49,2.03,,,,2.8,,24.16,100.24,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,6.0,False,2.0,6.0,True,False,Giordano Taddei,Diploma di geometra,Collegio dei geometri,1702900568713,14-NOV-13,"VIA AURELIO SAFFI, 15",BS,BRESCIA,NCT,3,Matteo,Marchina,NO,E.8,prima del 1930,Contratto di locazione,106.99,86.1,396.27,291.69,243.4,0.0439,2.0225,0.78,0.73,3.7221,F,60.8756,43.4053,3.1275,0,8.7244,1.75,62.6256,0.71,0.73,0.71,Aerazione - Ventilazione naturale,1.6000,,,,,,,RSU,Teleriscaldamento,350.00,0.014654683831268741
81886,1207800002218,26/04/2018,True,False,GORLA MAGGIORE,,4,127,12,False,False,E.1(1),True,False,False,1.0,False,False,False,False,False,True,Annuncio commerciale,Lombardia,GORLA MAGGIORE,VIA DANTE ALIGHIERI 4,,,45.66428754428704,8.891410274407741,"(45.66428754428705, 8.891410274407743)",E,Prima del 1930,137.54,0.0,650.69,0.0,True,False,False,True,False,False,red,green,False,G,338.41,"B (86,52)",,1.36,64.57,397.13,4385.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,10.0,9.0,231.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,370.01,0.57,234.98,0.02,0.0,Generatore a combustione,2011.0,ZZ43Q69286250003,Gas naturale,25.8,,,,,0.73,1.29,320.06,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2011.0,Gas naturale,25.8,0.85,0.07,18.35,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,1.0,False,3.0,1.0,True,False,MAURIZIO RAMPONI,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali,1301100003711,27-OTT-11,VIA LUNGO TELO DI SINISTRA 150,CO,ARGEGNO,,701,Sara,Gilardoni,NO,E.1(1),2011,Trasferimento a titolo oneroso,233,186.47,699.0,502,373.4,0.0955,0.204,,0.209,1.1904,B,51.4668,21.2204,26.756,23.4691,10.2539,164.6906,216.1574,0.41,0.1,0.17,Aerazione - Ventilazione naturale,0.3000,Collettori a tubi sottovuoto con assorbitore piano,,,4.0000,,0.800,Gas naturale,Generatore a condensazione,32.70,0.009161914542850157
81890,1406100005719,28/02/2019,True,False,SONDRIO,,21,17,4,False,False,E.1 (1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,SONDRIO,Frazione Mossini 177,,,,,,E,1995,96.0,0.0,354.77,0.0,True,False,False,True,False,False,red,green,False,E,202.44,"B (91,75)",,0.0,38.52,0.0,1862.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,4.0,Impianto climatizzazione - estate,No,6.0,8.0,198.18,,,,,,,,,,,,,,,,,,,0.0,,193.04,0.54,148.01,0.02,0.09,Generatore a combustione,1998.0,,Gas naturale,32.0,,,,,0.81,0.0,182.2,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,1998.0,Gas naturale,32.0,0.87,0.0,20.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,,False,,,True,False,Federico Negrini,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali,1522400007413,11-LUG-13,VICOLO DELLE SCUOLE,MI,TRUCCAZZANO,,708,Mauro,Ferrari,NO,E.1(1),prima del 1930,Contratto di locazione,76.04,59.09,250.92,177.26,194.52,0.0463,1.1524,,1.65,2.4181,G,298.4828,229.3545,15.3872,0,59.5771,31.7307,330.2135,0.77,0.68,0.76,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,25.80,0.007666804807293919
81914,1516800004316,04/02/2016,True,False,PARABIAGO,,14,13,722,False,False,E.1(1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,PARABIAGO,VIA IV NOVEMBRE 107,,,45.556206288745486,8.942290249464257,"(45.55620628874549, 8.942290249464257)",E,1946-1960,42.1,0.0,194.5,0.0,True,False,False,True,False,False,red,yellow,False,G,333.77,"B (46,28)",,2.44,63.84,218.72,1305.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,226.47,,,,,,,2.0,Fabbricato - involucro trasparente,No,8.0,10.0,325.78,3.0,Impianto climatizzazione - inverno,No,8.0,10.0,231.79,,,,,,,,,,,,,,,,,,,7.0,Cumulativo,No,8.0,10.0,226.47,0.0,,107.28,0.55,120.21,0.01,0.48,Generatore a combustione,2010.0,V24PX15907975003,Gas naturale,26.7,,,,,0.39,2.43,310.43,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2010.0,Gas naturale,26.7,0.78,0.02,23.34,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,4.0,False,8.0,4.0,True,False,SIMONE FERRARIO,Diploma di perito industriale o di istruzione tecnica,,1524200005913,26-FEB-13,"VIA PADANA SUPERIORE, 38",MI,VIMODRONE,,703,Luigi,Garambone,NO,E.1(1),prima del 1930,Contratto di locazione,60.26,50.87,196.45,159.22,107.075,0.0894,1.76,,,2.5263,G,299.8278,213.6123,16.0098,0,59.898,33.4266,333.2544,0.71,0.67,0.71,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,26.00,0.0019108873974645628
81921,1516800004316,04/02/2016,True,False,PARABIAGO,,14,13,722,False,False,E.1(1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,PARABIAGO,VIA IV NOVEMBRE 107,,,45.556206288745486,8.942290249464257,"(45.55620628874549, 8.942290249464257)",E,1946-1960,42.1,0.0,194.5,0.0,True,False,False,True,False,False,red,yellow,False,G,333.77,"B (46,28)",,2.44,63.84,218.72,1305.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,226.47,,,,,,,2.0,Fabbricato - involucro trasparente,No,8.0,10.0,325.78,3.0,Impianto climatizzazione - inverno,No,8.0,10.0,231.79,,,,,,,,,,,,,,,,,,,7.0,Cumulativo,No,8.0,10.0,226.47,0.0,,107.28,0.55,120.21,0.01,0.48,Generatore a combustione,2010.0,V24PX15907975003,Gas naturale,26.7,,,,,0.39,2.43,310.43,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2010.0,Gas naturale,26.7,0.78,0.02,23.34,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,4.0,False,8.0,4.0,True,False,SIMONE FERRARIO,Diploma di perito industriale o di istruzione tecnica,,1524200005813,25-FEB-13,"VIA PADANA SUPERIORE, 38",MI,VIMODRONE,,706,Luigi,Garambone,NO,E.1(1),prima del 1930,Contratto di locazione,60.26,50.87,200.36,159.22,108.875,0.0878,1.735,,,2.8989999999999996,G,302.8879,214.2109,14.5952,0,60.5082,43.3593,346.2472,0.71,0.52,0.68,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,26.00,0.014867636092468297
81943,1712600000419,18/02/2019,True,False,ORZIVECCHI,NCT,7,441,1,False,False,E.1 (1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,ORZIVECCHI,VIA DON L. MILANI 43,T-P,,,,,E,Dopo il 2006,101.15,101.15,427.55,427.55,True,True,False,True,False,False,green,green,False,A2,64.48,"A2 (66,0)",,6.43,12.27,0.0,624.93,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Fonti rinnovabili,No,10.0,3.0,64.48,,,,,,,2741.79,elettricità,289.25,0.68,28.05,0.02,0.02,Impianto simulato per sottodimensionamento,,,Gas naturale,,,,,,0.44,0.0,64.48,Pompa di calore,2018.0,Energia elettrica,5.0,,,,,0.0,6.43,0.0,Pompa di calore,2018.0,Energia elettrica,7.15,0.0,0.0,0.0,,,,,,,,Fotovoltaico,,Energia elettrica,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,,False,,,True,False,NICOLA SOTTURA,Laurea magistrale in ingegneria,Ordine degli ingegneri,1516900005713,11-APR-13,"VIA MILANO, 15",MI,PAULLO,,703,Daniela,Tasca,NO,E.1(1),1993-2006,Trasferimento a titolo oneroso,74.79,57.55,257.93,175.06,283.71,0.0247,0.7565,0.74,0.77,3.3114,G,293.3086,213.4078,12.6612,0,58.5937,32.5856,325.8942,0.73,0.67,0.72,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,25.80,0.019152981849611134
